,최초승차역ID,최종하차역ID,총통행거리,이용량,이비카드정류장ID_승차,정류소명_승차,표준정류장ID_승차,WGS84위도_승차,WGS84경도_승차,이비카드정류장ID_하차,정류소명_하차,표준정류장ID_하차,WGS84위도_하차,WGS84경도_하차,직선거리
53274,4100048.0,4100049.0,1170,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53275,4100048.0,4100049.0,3330,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53276,4100048.0,4100049.0,3730,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53277,4100048.0,4100049.0,8940,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53278,4100048.0,4100049.0,10390,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53279,4100048.0,4100049.0,12620,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53280,4100048.0,4100049.0,12890,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53281,4100048.0,4100049.0,16800,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53282,4100048.0,4100049.0,17030,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53283,4100048.0,4100049.0,18150,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53284,4100048.0,4100049.0,18310,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100049.0,홈플러스.벌말초교,233000100.0,37.2033,127.03813329999998,0.03691
53285,4100048.0,4100051.0,650,9,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100051.0,동부출장소.병점초등학교,233000708.0,37.2088,127.0344333,0.712
53286,4100048.0,4100051.0,710,10,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100051.0,동부출장소.병점초등학교,233000708.0,37.2088,127.0344333,0.712
53287,4100048.0,4100052.0,890,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100052.0,병점입구.병점육교.화남아파트,233000707.0,37.2106667,127.0328667,0.96142
53288,4100048.0,4100052.0,930,1,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100052.0,병점입구.병점육교.화남아파트,233000707.0,37.2106667,127.0328667,0.96142
53289,4100048.0,4100052.0,950,7,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100052.0,병점입구.병점육교.화남아파트,233000707.0,37.2106667,127.0328667,0.96142
53290,4100048.0,4100054.0,2930,5,4100048.0,신창미션힐.송화초교,233000101.0,37.2033,127.03855,4100054.0,대황교.활주로,233000706.0,37.22765,127.0246667,2.97363
