,암호화카드번호,버스노선ID1,버스노선ID2,버스노선ID3,버스노선ID4,버스노선ID5,총통행거리,총탑승시간,총소요시간,승차역ID1,승차역ID2,승차역ID3,승차역ID4,승차역ID5,하차역ID1,하차역ID2,하차역ID3,하차역ID4,하차역ID5,최초승차일시,최종하차일시,최초승차역ID,최종하차역ID,총이용금액,수집건수,총이용객수,사용자구분
4,900508818160,7,202,5-1,,,10930,24,24,4108196.0,4113291.0,4170271.0,,,,,,,,20180701204621,20180701213623 ,4108196.0,4199077.0,1350,3,1,1
5,900351733805,13-5,400-4,22,,,16150,49,49,4108106.0,4170093.0,4102827.0,,,,,,,,20180701145032,20180701161318 ,4108106.0,4102942.0,1450,3,1,1
6,900351733805,11,13-5,13-4,,,11350,24,24,4105311.0,4116985.0,4114206.0,,,,,,,,20180701212521,20180701221059 ,4105311.0,4117053.0,1350,3,1,1
8,900028085150,62-1,88-1,11-1,,,7140,26,26,4116853.0,4116930.0,4116900.0,,,,,,,,20180701182945,20180701191500 ,4116853.0,4170093.0,870,3,1,4
9,900028088225,720-2,32,30-1,,,13690,46,46,4170102.0,4170093.0,4102827.0,,,,,,,,20180701141014,20180701150226 ,4170102.0,4130061.0,1350,3,1,1
11,900497300024,11,720-2,3,,,11070,35,35,4105379.0,4116760.0,4116833.0,,,,,,,,20180701080857,20180701085254 ,4105379.0,4116875.0,1350,3,1,1
13,900029953051,98,5,301,,,6930,25,25,4116719.0,4108183.0,4122214.0,,,,,,,,20180701192632,20180701195748 ,4116719.0,4108093.0,1250,3,1,1
16,900029249197,116-1,116-3,50,,,28670,102,102,4176773.0,4110078.0,4100611.0,,,,,,,,20180701110122,20180701125354 ,4176773.0,4123044.0,1650,3,1,1
18,900469599427,16-2,92-1,13-1,,,10570,29,29,4102825.0,4107928.0,4108053.0,,,,,,,,20180701063925,20180701071516 ,4102825.0,4160314.0,1350,3,1,1
21,900030389260,310,83-1,27,,,13860,45,45,4122214.0,4117024.0,4170112.0,,,,,,,,20180701215057,20180701231539 ,4122214.0,4150199.0,1350,3,1,1
22,900030392244,400-5,310,23,,,23740,58,58,4130185.0,4170415.0,4105270.0,,,,,,,,20180701173756,20180701185926 ,4130185.0,4120058.0,1550,3,1,1
24,900030396186,1-1,2-2,116-1,,,25380,80,80,4110713.0,4106950.0,4100022.0,,,,,,,,20180701103052,20180701121153 ,4110713.0,4130405.0,1650,3,1,1
26,900026319651,20-1,900,15,,,13010,39,39,4107951.0,4107942.0,4108044.0,,,,,,,,20180701084310,20180701093406 ,4107951.0,4108028.0,1350,3,1,1
27,900472422119,3330,720-2,51,,,25780,57,57,4108192.0,4100577.0,4110254.0,,,,,,,,20180701185456,20180701195751 ,4108192.0,4110286.0,2400,3,1,1
33,900496351243,35,34,701,,,26540,57,57,4170418.0,4117322.0,4100048.0,,,,,,,,20180701111214,20180701122149 ,4170418.0,4197553.0,1650,3,1,1
34,900496351243,708,34,38,,,25940,57,57,4170974.0,4151651.0,4117321.0,,,,,,,,20180701205357,20180701221434 ,4170974.0,4117343.0,1650,3,1,1
