,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,정류소명,표준정류장ID,WGS84위도,WGS84경도,관할관청,이비카드정류장ID
927,68834,228000204,24,53,한원IC,233000169,37403.0,한원IC,233000169.0,37.1527333,127.12288329999998,경기도 화성시,4170725.0
928,68835,228000204,24,54,장지동,233000168,36808.0,장지리,233000168.0,37.1551167,127.1179,경기도 화성시,4170397.0
929,68836,228000204,24,55,장지동,233000167,36809.0,장지리,233000167.0,37.1558667,127.1150167,경기도 화성시,4170396.0
932,68839,228000204,24,58,꽃가마약수터,233000166,36810.0,꽃가마약수터,233000166.0,37.1591,127.09935,경기도 화성시,4170395.0
954,68861,228000204,24,80,꽃가마약수터,233001323,36943.0,꽃가마약수터,233001323.0,37.1589,127.09875,경기도 화성시,4170651.0
957,68864,228000204,24,83,장지동,233001320,37508.0,장지리,233001320.0,37.1557167,127.11495,경기도 화성시,4170878.0
958,68865,228000204,24,84,한원IC,233001321,36945.0,한원IC,233001321.0,37.15266670000001,127.1227167,경기도 화성시,4170649.0
6766,88114,233000004,1004,1,장외리.오리골,233001903,37929.0,장외리.오리골,233001903.0,37.1769333,126.6663167,경기도 화성시,4102832.0
6767,88115,233000004,1004,2,돈말입구,233001928,55350.0,돈말입구,233001928.0,37.1749833,126.66375,경기도 화성시,4122098.0
6768,88116,233000004,1004,3,제부도입구,233001850,55347.0,제부도입구,233001850.0,37.1727833,126.65971670000002,경기도 화성시,4122096.0
6769,88117,233000004,1004,4,제부도입구,233001293,37002.0,제부도입구,233001293.0,37.1722167,126.65838329999998,경기도 화성시,4102834.0
6771,88119,233000004,1004,6,개경촌,233000749,37006.0,개경촌,233000749.0,37.1647167,126.66428329999998,경기도 화성시,4102836.0
6772,88120,233000004,1004,7,송교1리,233000748,37013.0,송교1리,233000748.0,37.1635,126.6689167,경기도 화성시,4102841.0
6773,88121,233000004,1004,8,큰말입구,233000747,37014.0,큰말입구,233000747.0,37.1660667,126.67516670000002,경기도 화성시,4102842.0
6774,88122,233000004,1004,9,장외리.지긋말,233000746,37017.0,장외리.지긋말,233000746.0,37.1684667,126.6785,경기도 화성시,4102844.0
