"운수사","사업자ID","노선ID","노선번호","순번","정류소ID","정류소번호","정류소명","구간거리","위도","경도","TM_X","TM_Y"
"(화성)금오운수","4132400","41324001","17","0","4151651","36345","병점역사거리","0","37.20695","127.0356167","203094.688937081","411677.665058043"
"(화성)금오운수","4132400","41324001","17","1","4100049","36351","홈플러스.벌말초교","466","37.2033","127.0381333","203318.700558788","411273.478370247"
"(화성)금오운수","4132400","41324001","17","2","4170352","37738","한신아파트","434","37.20331667","127.0420167","203662.781500792","411274.464306839"
"(화성)금오운수","4132400","41324001","17","3","4199076","37683","구봉산근린공원","267","37.20361667","127.0442167","203857.465936471","411307.455166875"
"(화성)금오운수","4132400","41324001","17","4","4119339","55295","성호아파트후문","317","37.20085","127.0445333","203886.428842666","411000.371638282"
"(화성)금오운수","4132400","41324001","17","5","4170867","37516","우남아파트","434","37.19898333","127.04785","204181.218366496","410793.61124397"
"(화성)금오운수","4132400","41324001","17","6","4197436","55150","신일해피트리아파트","564","37.2003","127.0533","204664.359789118","410941.36069889"
"(화성)금오운수","4132400","41324001","17","7","4170525","37720","두산신일아파트","212","37.20141667","127.0543667","204759.592999492","411065.272818651"
"(화성)금오운수","4132400","41324001","17","8","4170526","37719","모아포스코아파트","299","37.2015","127.0577333","205058.68544179","411073.535006815"
"(화성)금오운수","4132400","41324001","17","9","4199432","37849","동탄고등학교","389","37.2038","127.0594667","205212.494419042","411328.756496542"
"(화성)금오운수","4132400","41324001","17","10","4101605","37952","숲속자연앤","396","37.2072","127.0603833","205292.619236331","411706.910487715"
"(화성)금오운수","4132400","41324001","17","11","4170978","55147","능동은행사거리","295","37.2089","127.0618167","205420.85048873","411895.384941392"
"(화성)금오운수","4132400","41324001","17","12","4170272","37742","센트럴파크","229","37.20773333","127.0638333","205598.662336032","411765.114316081"
"(화성)금오운수","4132400","41324001","17","13","4170273","37741","금호어울림","267","37.20655","127.0664833","205835.161688927","411634.659584868"
"(화성)금오운수","4132400","41324001","17","14","4170974","36666","메타폴리스(중)","382","37.20426667","127.0674833","205922.874194831","411380.906528774"
"(화성)금오운수","4132400","41324001","17","15","4197553","37664","동탄홈플러스.다은마을삼성래미안","330","37.20183333","127.06805","205974.197868451","411110.620985421"
"(화성)금오운수","4132400","41324001","17","16","4197591","37666","롯데캐슬.복합문화센터","328","37.20123333","127.0707667","206215.317736153","411045.832341674"
"(화성)금오운수","4132400","41324001","17","17","4170937","37671","동탄2동행정복지센터","571","37.19641667","127.0728833","206404.0171044","410511.487268939"
"(화성)금오운수","4132400","41324001","17","18","4170255","37669","반송고등학교","537","37.19321667","127.0773833","206802.98434607","410156.51369415"
"(화성)금오운수","4132400","41324001","17","19","4108008","55130","사랑의교회","413","37.19358333","127.08085","207111.302796751","410197.41368287"
"(화성)금오운수","4132400","41324001","17","20","4130082","37659","동탄2신도시홍보관","427","37.1942","127.0845","207435.410410681","410266.201966749"
"(화성)금오운수","4132400","41324001","17","21","4170519","55485","반도5차","561","37.19416667","127.0908","207994.349136478","410262.241410214"
"(화성)금오운수","4132400","41324001","17","22","4117437","37687","반도5차","412","37.19643333","127.0929167","208182.631300816","410513.071944672"
