운수사,사업자ID,노선ID,노선번호,순번,정류장ID,정류장번호,정류소명,구간거리,위도,경도,TM_X,TM_Y
경진여객,4100800,233000048,1,1,233000929,36011,조암터미널,0,37.08218249,126.8156117,183604.9614,398149.3447
경진여객,4100800,233000048,1,2,233002625,55396,조암농협,148,37.08192703,126.8169488,183723.7971,398120.7642
경진여객,4100800,233000048,1,3,233000930,37481,조암GS주유소,360,37.08345426,126.8205851,184047.44,398289.6379
경진여객,4100800,233000048,1,4,233000931,37122,어은삼거리,587,37.08594721,126.8264219,184566.9218,398565.3404
경진여객,4100800,233000048,1,5,233000515,37124,어은4리,543,37.0814091,126.8283179,184734.5872,398061.3975
경진여객,4100800,233000048,1,6,233000932,37126,장안면행정복지센터,398,37.07886194,126.8302805,184908.5903,397778.4025
경진여객,4100800,233000048,1,7,233000514,37129,사랑리,696,37.07344284,126.8339923,185237.5971,397176.4124
경진여객,4100800,233000048,1,8,233001248,37514,덕다2리앞,550,37.0693841,126.8376108,185558.6017,396725.421
경진여객,4100800,233000048,1,9,233001144,37490,덕다리입구,189,37.06766354,126.8379518,185588.6045,396534.423
경진여객,4100800,233000048,1,10,233000933,37131,덕다리입구,154,37.06699779,126.8387066,185655.6051,396460.4246
경진여객,4100800,233000048,1,11,233000934,37136,독정1리,677,37.06672833,126.8460609,186309.6005,396429.4351
경진여객,4100800,233000048,1,12,233000513,37140,독정삼거리,497,37.07017499,126.8496072,186625.592,396811.4371
경진여객,4100800,233000048,1,13,233001428,36981,장안9리입구,1264,37.06046761,126.8544499,187054.6056,395733.4523
경진여객,4100800,233000048,1,14,233000988,36709,장명초등학교,404,37.05699084,126.8555359,187150.6109,395347.4568
경진여객,4100800,233000048,1,15,233001419,36985,장안6리,548,37.05236937,126.8563542,187222.6184,394834.462
경진여객,4100800,233000048,1,16,233000990,37479,장안6리,304,37.04998845,126.8546388,187069.6237,394570.4616
경진여객,4100800,233000048,1,17,233001420,36722,장안3리,1087,37.04176371,126.8520433,186837.3284,393658.0474
경진여객,4100800,233000048,1,18,233001421,37536,장안8리,738,37.03794422,126.8466206,186354.2227,393234.9305
경진여객,4100800,233000048,1,19,233001422,36984,장명초분교,265,37.03796359,126.8440177,186122.652,393237.4573
경진여객,4100800,233000048,1,20,233001423,36983,장안제일교회,375,37.03464664,126.843249,186053.6582,392869.4591
경진여객,4100800,233000048,1,21,233001429,36980,장명초분교,323,37.03748583,126.8438725,186109.6529,393184.4575
