,Unnamed: 0,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,표준정류장ID,시군명,WGS84위도,WGS84경도
0,1462,164077,241317009,39,1,장지동,233000168,36808.0,233000168,화성시,37.1551167,127.1179
18,1465,164078,241317009,39,2,장지동,233000167,36809.0,233000167,화성시,37.155866700000004,127.11501670000001
36,1469,164084,241317009,39,8,롯데캐슬.제일풍경채,233003130,55526.0,233003130,화성시,37.157483299999996,127.10928329999999
52,1473,164085,241317009,39,9,자이파밀리에,233003131,55527.0,233003131,화성시,37.1591667,127.10605
84,1562,164113,241317009,39,37,자이파밀리에,233003163,55560.0,233003163,화성시,37.15910094,127.10596299999999
116,1566,164114,241317009,39,38,롯데캐슬.제일풍경채,233003164,55561.0,233003164,화성시,37.15743523,127.10912350000001
132,1569,164120,241317009,39,44,장지동,233001320,37508.0,233001320,화성시,37.1557167,127.11495
150,7510,188372,241483001,5-1A,2,제부도입구,233001293,37002.0,233001293,화성시,37.1722167,126.65838329999998
250,7515,188374,241483001,5-1A,4,개경촌,233000749,37006.0,233000749,화성시,37.1647167,126.66428329999998
282,7519,188376,241483001,5-1A,6,송교1리,233000748,37013.0,233000748,화성시,37.1635,126.66891670000001
314,7523,188377,241483001,5-1A,7,큰말입구,233000747,37014.0,233000747,화성시,37.1660667,126.67516670000002
346,7528,188378,241483001,5-1A,8,장외리.지긋말,233000746,37017.0,233000746,화성시,37.1684667,126.6785
396,7533,188380,241483001,5-1A,10,장외리,233000745,37021.0,233000745,화성시,37.174183299999996,126.68083329999999
476,7537,188381,241483001,5-1A,11,숲풀안앞,233001875,37784.0,233001875,화성시,37.1742,126.68565
508,7542,164400,241319005,공영1(사곳.궁평),13,광평삼거리,233000850,37563.0,233000850,화성시,37.17475,126.6889
1318,7550,164401,241319005,공영1(사곳.궁평),14,느티나무앞,233001887,37928.0,233001887,화성시,37.1743,126.69135
1958,7558,164402,241319005,공영1(사곳.궁평),15,광평주유소,233000851,37579.0,233000851,화성시,37.1728,126.6951
2278,7566,164403,241319005,공영1(사곳.궁평),16,광평리,233001561,37032.0,233001561,화성시,37.1729833,126.69745
2918,7574,164405,241319005,공영1(사곳.궁평),18,서신중학교후문,233003118,55514.0,233003118,화성시,37.1699,126.70175
