,구분,운수사명,운수사ID,이비노선ID,표준노선ID,노선명,isHwasung,p_1,p_2,p_4,p_8
53,경기시내,경기고속,4100200,234000068,41002090,720-3,True,20430,68,899,0
2102,경기시내,(주)화성여객,4108600,233000133,41086002,116-3,True,11988,47,713,0
2114,경기시내,(주)화성여객,4108600,234001570,41086011,116-2,True,6677,40,580,0
2113,경기시내,(주)화성여객,4108600,234001568,41086008,721,True,5968,21,435,0
904,경기시내,경진여객,4100800,233000086,41008151,38,True,4403,18,165,0
2026,경기시내,화성운수,4107500,233000128,41075031,712,True,4194,16,144,0
2103,경기시내,(주)화성여객,4108600,233000135,41086005,8501,True,4069,3,91,0
2027,경기시내,화성운수,4107500,233000130,41075017,73-1,True,3474,25,355,0
1919,경기시내,제부여객,4106100,233000253,41061027,150,True,2862,13,54,0
2108,경기시내,(주)화성여객,4108600,233000254,41086013,203,True,2085,8,54,0
910,경기시내,경진여객,4100800,233000139,41008167,8155,True,1893,1,16,0
2107,경기시내,(주)화성여객,4108600,233000144,41086012,202,True,1422,1,76,0
1916,경기시내,제부여객,4106100,233000134,41061022,1001,True,1144,2,134,0
1908,경기시내,제부여객,4106100,233000004,41037102,1004,True,978,1,40,0
2105,경기시내,(주)화성여객,4108600,233000141,41086009,201,True,925,10,144,0
2029,경기시내,화성운수,4107500,233000252,41075030,710,True,892,7,95,0
2110,경기시내,(주)화성여객,4108600,233000266,41086015,6003,True,827,0,0,0
2104,경기시내,(주)화성여객,4108600,233000136,41086004,6002,True,771,0,5,0
912,경기시내,경진여객,4100800,233000258,41008171,8156,True,521,0,3,0
1911,경기시내,제부여객,4106100,233000075,41037106,340,True,458,3,62,0
1912,경기시내,제부여객,4106100,233000077,41037113,1000,True,405,9,49,0
2101,경기시내,(주)화성여객,4108600,233000131,41086001,6001,True,377,0,3,0
759,경기시내,경남여객,4100600,228000204,41006281,24,True,369,0,13,0
1909,경기시내,제부여객,4106100,233000005,41037001,330,True,324,0,8,0
