,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,govern,lat,lng,이비노선ID,표준노선ID
998,68834,228000204,24,53,한원IC,233000169,37403.0,화성시,37.1527333,127.12288329999998,228000204.0,41006281.0
999,68835,228000204,24,54,장지동,233000168,36808.0,화성시,37.1551167,127.1179,228000204.0,41006281.0
1000,68836,228000204,24,55,장지동,233000167,36809.0,화성시,37.1558667,127.1150167,228000204.0,41006281.0
1001,68837,228000204,24,56,롯데캐슬.제일풍경채,233003130,55526.0,화성시,37.1574833,127.1092833,228000204.0,41006281.0
1002,68838,228000204,24,57,자이파밀리에,233003131,55527.0,화성시,37.1591667,127.10605,228000204.0,41006281.0
1003,68839,228000204,24,58,꽃가마약수터,233000166,36810.0,화성시,37.1591,127.09935,228000204.0,41006281.0
1025,68861,228000204,24,80,꽃가마약수터,233001323,36943.0,화성시,37.1589,127.09875,228000204.0,41006281.0
1028,68864,228000204,24,83,장지동,233001320,37508.0,화성시,37.1557167,127.11495,228000204.0,41006281.0
1029,68865,228000204,24,84,한원IC,233001321,36945.0,화성시,37.15266670000001,127.1227167,228000204.0,41006281.0
7264,88114,233000004,1004,1,장외리.오리골,233001903,37929.0,화성시,37.1769333,126.6663167,233000004.0,41037102.0
7265,88115,233000004,1004,2,돈말입구,233001928,55350.0,화성시,37.1749833,126.66375,233000004.0,41037102.0
7266,88116,233000004,1004,3,제부도입구,233001850,55347.0,화성시,37.1727833,126.65971670000002,233000004.0,41037102.0
7267,88117,233000004,1004,4,제부도입구,233001293,37002.0,화성시,37.1722167,126.65838329999998,233000004.0,41037102.0
7268,88118,233000004,1004,5,송교리(경유),277102502,,화성시,37.1689667,126.6588833,233000004.0,41037102.0
7269,88119,233000004,1004,6,개경촌,233000749,37006.0,화성시,37.1647167,126.66428329999998,233000004.0,41037102.0
7270,88120,233000004,1004,7,송교1리,233000748,37013.0,화성시,37.1635,126.6689167,233000004.0,41037102.0
7271,88121,233000004,1004,8,큰말입구,233000747,37014.0,화성시,37.1660667,126.67516670000002,233000004.0,41037102.0
7272,88122,233000004,1004,9,장외리.지긋말,233000746,37017.0,화성시,37.1684667,126.6785,233000004.0,41037102.0
7273,88123,233000004,1004,10,장외리,233000745,37021.0,화성시,37.1741833,126.6808333,233000004.0,41037102.0
7274,88124,233000004,1004,11,숲풀안앞,233001875,37784.0,화성시,37.1742,126.68565,233000004.0,41037102.0
7275,88125,233000004,1004,12,광평삼거리,233000850,37563.0,화성시,37.17475,126.6889,233000004.0,41037102.0
7276,88126,233000004,1004,13,느티나무앞,233001887,37928.0,화성시,37.1743,126.69135,233000004.0,41037102.0
7277,88127,233000004,1004,14,광평주유소,233000851,37579.0,화성시,37.1728,126.6951,233000004.0,41037102.0
7278,88128,233000004,1004,15,광평리,233001561,37032.0,화성시,37.1729833,126.69745,233000004.0,41037102.0
7279,88129,233000004,1004,16,서신중학교후문,233003118,55514.0,화성시,37.1699,126.70175,233000004.0,41037102.0
7280,88130,233000004,1004,17,매화리,233000852,37040.0,화성시,37.1686,126.7036333,233000004.0,41037102.0
7281,88131,233000004,1004,18,서신터미널,233000853,37045.0,화성시,37.1694,126.7052333,233000004.0,41037102.0
7282,88132,233000004,1004,19,상안리삼거리,233000344,37398.0,화성시,37.1739833,126.70668329999998,233000004.0,41037102.0
7283,88133,233000004,1004,20,상안2리.SK주유소,233000744,37057.0,화성시,37.1790167,126.70803329999998,233000004.0,41037102.0
7284,88134,233000004,1004,21,상안1.2리,233000743,37049.0,화성시,37.1828,126.70671670000002,233000004.0,41037102.0
