,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,조암터미널,조암농협,조암GS주유소,어은삼거리,어은4리,장안면행정복지센터,사랑리,덕다2리앞,덕다리입구,독정1리,독정삼거리,장안9리입구,장명초등학교,장안6리,장안3리,장안8리,장명초분교,장안제일교회,장안6리.물구리,덕다2리앞(구래),삼괴중고교,우정읍행정복지센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,조암터미널,조암리(경유),어은삼거리,어은4리,장안면행정복지센터,사랑리,덕다2리앞,덕다리입구,독정1리,독정삼거리,장안9리입구,장명초등학교,장안6리,장안3리,장안8리,장명초분교,장안제일교회,장안4리입구,장안4리(고잔)종점,장안6리.물구리,덕다2리앞(구래),장안초등학교,조암GS주유소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,발안만세시장,발안삼거리.바다마트,발안리(경유),화성중고등학교,화성시보건소앞,장짐삼거리,제약공단사원아파트앞,지월리입구,상신1리마을앞,수목원,상신6리,구장리새터말입구,상신리,구장1리,향남제약공단앞,팔탄초등학교,제약공단후문.구문천1리입구,팔탄면행정복지센터,구문천리,마곡마을입구,구문천공원,구장삼거리,발안산업단지,구장사거리앞,구문천1리진입로,창곡주유소앞,현동목장앞,창곡3리.독골,구문천삼거리,우렁골입구,구문천5리(회차),창곡2리교회앞,창곡1리,구문천리초록마을,금산사입구,구문천3리,언창공단,창곡1리입구,청요사거리,자안리,우신공업앞,하저리마을회관,하저교회앞,메탈산업단지,하저3리.한미약품,수련개,금광포란재아파트,무송2통.술현,무송교차로,무송그린빌리지,무송1통마을입구,그린빌라.롤링힐스,롤링힐스,대광아파트,공군부대입구,화성시청,남양뉴타운.양우내안애,남양중고교입구,기업은행,남양중고입구.기아남양점,양우내안애,자재이골입구,창곡3리,구장1리(새터말.율암리),구종점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리입구,수목원,구장리새터말입구,구장1리,팔탄초등학교,팔탄면행정복지센터,마곡마을입구,구장삼거리,구장사거리.공구상가,하피랜드,율암삼거리,율암드림마트앞,대방초교,명인제약,노화1리,노하2리,정미소앞,노하3리,노하3리.백미정,노하산업단지,노하할인마트,구장1리(새터말.율암리),구종점,발안만세시장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리,지월리입구,수목원,구장리새터말입구,구장1리,팔탄초등학교,팔탄면행정복지센터,마곡마을입구,구장삼거리,기천편의점할인마트앞,기천1리입구,기천1리,전원마을,기천3리,기천3리종점,구장1리(새터말.율암리),구종점,발안만세시장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리입구,수목원,구장리새터말입구,구장1리,율암1리,율암온천,굴다리입구,덕천리.화성온천,덕천리,덕우리(구운말),안덕우리,팔탄전자앞,화성제일병원,화당리,월문리,월문초등학교,나은병원,덕우리.구운말,구종점,발안만세시장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,화성시보건소앞,발안만세시장,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리입구,수목원,구장리새터말입구,구장1리,팔탄초등학교,팔탄면행정복지센터,마곡마을입구,구장삼거리,구장사거리앞,창곡주유소앞,창곡3리.독골,우렁골입구,창곡2리교회앞,창곡1리,금산사입구,언창공단,창곡1리입구,청요사거리,자안리,태행산예비군훈련장앞,양노리,비봉면행정복지센터,자재이골입구,창곡3리,구장1리(새터말.율암리),바다마트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리입구,수목원,구장리새터말입구,구장1리,팔탄초등학교,팔탄면행정복지센터,마곡마을입구,구장삼거리,구장사거리.공구상가,하피랜드,율암삼거리,팔탄공단앞,율암2리.쇄네골,하저4리입구,하저3리.한미약품,하저교회앞,하저리마을회관,우신공업앞,자안리,청요사거리,창곡1리입구,언창공단,금산사입구,창곡1리,창곡2리교회앞,자재이골입구,창곡3리,창곡주유소앞,구장사거리앞,구장1리(새터말.율암리),구종점,발안만세시장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,화성시보건소앞,발안만세시장,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리,지월리입구,수목원,구장리새터말입구,구장1리,팔탄초등학교,팔탄면행정복지센터,마곡마을입구,구장삼거리,기천편의점할인마트앞,기천1리입구,기천1리,전원마을,기천3리,상기2리입구,상기1리즘곰마을,상기1리호현리,상기1리세거리,수원여대혜란캠퍼스,상기리입구,아울렛패션몰,세거리.상기1리,호현리.상기1리,즘곰마을.상기1리,구장1리(새터말.율암리),바다마트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,화성시보건소앞,발안만세시장,발안삼거리.바다마트,화성중고등학교,장짐삼거리,지월리입구,수목원,구장리새터말입구,구장1리,팔탄초등학교,팔탄면행정복지센터,소동촌,덕우공단,덕우저수지,팔탄입구,덕리,화성푸드통합지원센터(로컬푸드직매장),해병대사령부종점,구장1리(새터말.율암리),바다마트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
