정류소명,no
우만동4단지,1831
LG빌리지.두산기술원,1517
삼익아파트,1028
장안문,5446
영화초등학교,307
국제사이버대학교.인계사거리,421
서동탄역신일해피트리(중),381
금정역,350
병점역사거리,7944
상원초등학교.양지동청소년문화의집,788
삼성삼거리,461
경기대입구,522
새터마을,1365
수원버스터미널,1380
동수원사거리,1997
수원시청역9번출구.국민연금공단,2525
신영통현대타운.두산위브,3976
그대가프리미어아파트.망포역3번출구,15188
한마음외과,347
원영화남아파트,1599
국민은행,1195
수원역.AK플라자,22315
남수원초등학교,1495
기흥역3번출구,170
신미주아파트,395
죽미마을입구,1588
병점사거리,4459
중원사거리,2210
팔달문,6285
향남홈플러스,882
운암주공1단지.운천중학교,1188
오매장터.다나병원,1726
이매촌한신.서현역.AK프라자,820
화서역.화서2동주민센터,863
KBS수원센터.경기도노인회관,1243
장안공원,2435
풍림아파트,1280
파장시장.효자문사거리,454
여권민원실.풍림아파트,1046
영통구보건소.수원체육문화센터,310
벽적골태영아파트,1506
금곡동강남아파트,967
삼환나우빌아파트,1295
석수지구대,189
구서고.금상초교,353
신갈오거리,696
수원시평생학습관.연무사회복지관,695
수원종합운동장.로얄팰리스.아너스빌위즈,1263
수원역.AK플라자,16371
청구1차아파트,258
와우2리,1846
황제연립,606
세류2동주민센터,1786
수원버스터미널,3661
수원여자고교,939
수원역.노보텔수원,7727
수원KT위즈파크,896
관악역,548
수원역환승센터(12승강장),8349
상봉초등학교,312
매탄우남아파트,792
팔달구청.화성행궁.수원성지,3045
창우초교(중),3
웃거리,1107
매원중학교,274
수원센트럴타운3단지,737
수원역.역전시장,6614
경기대후문.수원박물관.광교대학로,1596
백현중학교,69
오리역,1367
미금역.2001아울렛,603
오리역,1238
조원동,427
한솔마을.LG아파트,175
미금역,2102
수원버스터미널,4275
세권사거리,539
아주대학교입구,4252
상현역,1737
원동초교,1639
서천마을2단지,602
내삼미동입구,506
신창미션힐.송화초교,8599
두산신일아파트,141
와우2리,653
칠보쌍용아파트,453
성균관대학교,385
푸른마을,890
미금역.농협.2001아울렛,1040
이마트,1986
한국전력경기사업본부.한라시그마팰리스,1940
장안지하차도.수원KT위즈파크,4195
신나무실아파트,2658
영통역,6466
서호초등학교,640
농촌진흥청,759
돌고지,35
덕신상가,539
성빈센트병원,3588
수원역.AK플라자,16599
서현역.AK프라자,3673
병무청입구,4291
파장시장입구,1395
프리미엄아울렛,519
정자종합시장,785
세무서.도청입구.신용회복위원회,2271
뉴코아아울렛.중소기업은행,911
삼성2차아파트,805
탑동초등학교.삼성아파트,1515
성모병원,632
신안인스빌2차,1240
병점역후문,3354
신한미지엔아파트앞,801
팔달문,5889
중심상가,464
대우푸르지오.호반베르디움2차,487
창룡문,649
수일여중.한빛현요양병원.경기도과학교육원,2348
궐리사.대우아파트,1059
권선동,74
백현마을3단지,391
올림픽스포츠센터,15
본오지구대,2
수영초등학교,706
수영오거리.방송통신대입구,142
상록수역,123
야탑역.종합버스터미널(후면),364
대일초교.학년쇼핑,348
우남퍼스트빌,512
능동마을입구,854
쌍용2차.성원3차.서원초중고,1259
KT수원지사.국민연금북수원지사,7153
수원시청사거리,668
모란역2.3번출구,344
MD아파트,59
신일해피트리1차,1746
내촌마을,161
영통역8번출구,5164
백현마을8단지,380
상현1동주민센터.금호베스트빌,1003
매탄권선역.그린빌주공6단지,1360
오색시장,610
금암마을7단지,764
세마역,1189
화서역,1684
신미주아파트,176
롯데캐슬.복합문화센터,955
칠보마을6단지.LG빌리지1차아파트,236
선일초등학교,3911
팔곡마을주공아파트건너편,54
당수동인정아파트.한라아파트,575
칠보마을5단지.가온마을3단지,786
당수초등학교.삼정아파트,394
아주대입구.우리은행,4918
동남아파트,383
상대원새마을금고,400
화서문.장안공원,1901
